Rainfall,AvgTemp,RelativeHumidity,SoilTemp,Sand,PHLevel,Phosphorus,Potassium,Clay,ProductionArea,PRODUCTION
265.65,5.0,54.0,5.053439452452102,55.365,6.5,97.0,517.0,9.023,4950.0,7583.0
145.32,9.0,52.0,9.178551840239397,55.365,6.5,97.0,517.0,9.023,4750.0,7230.0
199.32,10.0,55.0,9.948700413370448,55.365,6.5,97.0,517.0,9.023,4920.0,7444.75
145.62,8.0,57.0,8.12890789837714,55.365,6.5,97.0,517.0,9.023,4920.0,7444.75
254.32,9.0,56.0,8.954530929212702,55.365,6.5,97.0,517.0,9.023,4920.0,7444.75
254.32,9.0,56.0,9.284321475441793,55.365,6.5,97.0,517.0,9.023,4920.0,7444.75
254.32,9.0,56.0,8.723368646219189,55.365,6.5,97.0,517.0,9.023,4920.0,7444.75
708.12,22.71083333333333,45.82,22.38583333333333,37.265,6.9,97.0,198.0,29.654,10500.0,20853.0
1059.98,22.4025,50.461666666666666,21.84083333333333,37.265,6.9,97.0,198.0,29.654,11000.0,22000.0
1278.69,22.199166666666667,52.33083333333334,21.605,37.265,6.9,97.0,198.0,29.654,12282.0,27143.0
1184.07,22.39916666666667,52.969166666666666,21.8125,37.265,6.9,97.0,198.0,29.654,15731.0,37754.0
1524.72,21.814166666666665,57.06583333333333,21.1075,37.265,6.9,97.0,198.0,29.654,17530.0,43650.0
1637.17,21.745833333333334,58.134166666666665,21.048333333333336,37.265,6.9,97.0,198.0,29.654,18000.0,43380.0
1116.18,22.7175,50.6875,22.1575,37.265,6.9,97.0,198.0,29.654,16856.0,43380.0
1271.01,22.863333333333333,53.59916666666667,22.3,37.265,6.9,97.0,198.0,29.654,17913.0,38154.0
1615.98,21.6975,58.59833333333333,21.101666666666667,37.265,6.9,97.0,198.0,29.654,17920.0,53904.0
1223.29,21.99083333333333,54.33583333333333,21.37,37.265,6.9,97.0,198.0,29.654,17836.0,55900.0
1766.88,21.73583333333333,62.39333333333334,21.075,37.265,6.9,97.0,198.0,29.654,18022.0,52758.0
1241.06,22.320833333333336,54.3625,21.64833333333333,37.265,6.9,97.0,198.0,29.654,19030.0,57500.0
1254.16,22.343333333333334,55.068333333333335,21.66,37.265,6.9,97.0,198.0,29.654,18144.2,41364.66666666666
1370.95,22.89,52.370000000000005,22.08333333333333,37.265,6.9,97.0,198.0,29.654,18144.2,41364.66666666666
1334.9,22.910833333333333,53.969166666666666,22.191666666666663,37.265,6.9,97.0,198.0,29.654,18144.2,41364.66666666666
1251.89,22.305000000000003,54.95083333333333,21.564166666666665,37.265,6.9,97.0,198.0,29.654,18144.2,41364.66666666666
1249.46,21.96333333333333,59.79833333333334,21.38833333333333,37.265,6.9,97.0,198.0,29.654,18144.2,41364.66666666666
1132.04,23.9825,47.63583333333333,23.929166666666664,43.12,6.8,55.0,210.0,18.354,27500.0,74525.0
1319.26,23.2625,55.88583333333333,22.804166666666664,43.12,6.8,55.0,210.0,18.354,29000.0,79750.0
1195.88,23.5975,54.681666666666665,23.2375,43.12,6.8,55.0,210.0,18.354,28545.0,81068.0
1260.66,23.40833333333333,56.5625,22.98333333333333,43.12,6.8,55.0,210.0,18.354,28945.0,89440.0
1416.27,22.89833333333333,60.3325,22.46666666666667,43.12,6.8,55.0,210.0,18.354,28995.0,92985.0
1661.14,22.919166666666666,61.37833333333333,22.49,43.12,6.8,55.0,210.0,18.354,28900.0,88900.0
1027.59,23.9075,52.04416666666666,23.576666666666668,43.12,6.8,55.0,210.0,18.354,28900.0,95900.0
1117.27,24.07583333333333,54.13166666666667,23.852500000000003,43.12,6.8,55.0,210.0,18.354,29000.0,96900.0
1268.63,22.95,58.9425,22.594166666666663,43.12,6.8,55.0,210.0,18.354,29000.0,92800.0
1113.92,23.156666666666663,53.935833333333335,22.887500000000003,43.12,6.8,55.0,210.0,18.354,29200.0,94600.0
1516.05,22.680000000000003,60.99,22.349166666666665,43.12,6.8,55.0,210.0,18.354,29100.0,93600.0
1402.89,23.22,58.89333333333334,22.7125,43.12,6.8,55.0,210.0,18.354,29150.0,90163.0
1341.9,23.694166666666664,57.27583333333334,23.184166666666663,43.12,6.8,55.0,210.0,18.354,29090.0,89219.25
1227.07,24.214166666666667,54.93416666666667,23.63333333333333,43.12,6.8,55.0,210.0,18.354,29090.0,89219.25
1273.6799999999998,24.165000000000003,56.62916666666666,23.699166666666667,43.12,6.8,55.0,210.0,18.354,29090.0,89219.25
1334.01,23.680833333333336,53.64333333333334,23.3425,43.12,6.8,55.0,210.0,18.354,29090.0,89219.25
1245.6,23.506666666666664,59.98333333333333,23.25,43.12,6.8,55.0,210.0,18.354,29090.0,89219.25
1087.45,23.953333333333333,45.0425,23.675833333333333,41.253,7.0,86.0,220.0,19.365,17000.0,42269.0
1026.54,23.660833333333333,49.09916666666666,23.10166666666667,41.253,7.0,86.0,220.0,19.365,17500.0,42269.0
1262.15,23.382500000000004,51.625,22.765833333333333,41.253,7.0,86.0,220.0,19.365,17800.0,42720.0
1153.02,23.685,51.3125,23.096666666666664,41.253,7.0,86.0,220.0,19.365,19165.0,49829.0
1509.37,22.989166666666662,56.01666666666667,22.2575,41.253,7.0,86.0,220.0,19.365,18000.0,49620.0
1567.85,22.894166666666667,57.344166666666666,22.1875,41.253,7.0,86.0,220.0,19.365,16915.0,42177.0
1092.82,23.87833333333333,50.015833333333326,23.315,41.253,7.0,86.0,220.0,19.365,17900.0,45823.0
1266.04,24.061666666666667,53.09916666666667,23.491666666666664,41.253,7.0,86.0,220.0,19.365,18890.0,52800.0
1587.87,22.8125,58.52666666666666,22.25333333333333,41.253,7.0,86.0,220.0,19.365,23500.0,68325.0
1167.2,23.219166666666663,53.61833333333334,22.575000000000003,41.253,7.0,86.0,220.0,19.365,23500.0,74400.0
1732.97,22.883333333333336,62.00833333333333,22.20833333333333,41.253,7.0,86.0,220.0,19.365,19500.0,72500.0
1185.46,23.551666666666662,53.01499999999999,22.864166666666662,41.253,7.0,86.0,220.0,19.365,19400.0,75500.0
1066.44,23.80666666666667,51.958333333333336,23.254166666666663,41.253,7.0,86.0,220.0,19.365,20958.0,54852.66666666666
1155.7299999999998,24.326666666666668,49.18083333333333,23.624166666666667,41.253,7.0,86.0,220.0,19.365,20958.0,54852.66666666666
1127.3300000000002,24.32166666666667,50.86666666666667,23.724166666666665,41.253,7.0,86.0,220.0,19.365,20958.0,54852.66666666666
1146.52,23.636666666666667,53.07749999999999,22.985,41.253,7.0,86.0,220.0,19.365,20958.0,54852.66666666666
1143.4,23.257500000000004,57.81333333333333,22.73333333333333,41.253,7.0,86.0,220.0,19.365,20958.0,54852.66666666666
1156.03,13.0325,54.4275,12.840833333333334,57.256,5.7,274.0,343.0,15.265,3847.0,11341.0
1122.6,12.464166666666666,64.5275,11.88,57.256,5.7,274.0,343.0,15.265,3847.0,11341.0
948.3,12.56,62.142500000000005,11.896666666666668,57.256,5.7,274.0,343.0,15.265,3847.0,10500.0
957.54,12.919166666666667,63.48333333333333,12.3975,57.256,5.7,274.0,343.0,15.265,3665.0,11178.0
1050.38,12.546666666666669,66.5225,11.929166666666667,57.256,5.7,274.0,343.0,15.265,3665.0,11178.0
1114.02,12.496666666666668,66.4075,12.0625,57.256,5.7,274.0,343.0,15.265,3665.0,9884.0
743.5500000000001,13.251666666666669,57.9,12.8225,57.256,5.7,274.0,343.0,15.265,3665.0,9884.0
916.69,13.359166666666669,60.3675,12.996666666666668,57.256,5.7,274.0,343.0,15.265,3200.0,2884.0
968.29,12.35,66.985,11.900833333333331,57.256,5.7,274.0,343.0,15.265,3150.0,11060.0
888.71,12.523333333333332,58.6225,12.038333333333334,57.256,5.7,274.0,343.0,15.265,3150.0,11559.0
1247.65,12.489166666666668,65.62833333333333,11.938333333333333,57.256,5.7,274.0,343.0,15.265,3100.0,10800.0
1179.7,12.6975,66.07333333333334,12.0125,57.256,5.7,274.0,343.0,15.265,3100.0,11200.0
1045.44,12.735,67.58749999999999,12.159999999999998,57.256,5.7,274.0,343.0,15.265,3140.0,10234.083333333334
1023.98,13.358333333333334,64.83416666666666,12.615,57.256,5.7,274.0,343.0,15.265,3140.0,10234.083333333334
946.12,13.233333333333334,66.04083333333334,12.654166666666669,57.256,5.7,274.0,343.0,15.265,3140.0,10234.083333333334
28.23,12.6675,64.72416666666668,12.2575,57.256,5.7,274.0,343.0,15.265,3140.0,10234.083333333334
34.22,12.705,67.62083333333334,12.2975,57.256,5.7,274.0,343.0,15.265,3140.0,10234.083333333334
188.32,22.0,51.0,21.80103152657108,59.35,6.0,198.0,345.0,15.325,2571.0,6170.0
192.32,25.0,52.0,24.93102882290825,59.35,6.0,198.0,345.0,15.325,2571.0,6234.0
155.65,23.0,53.0,22.62346309276366,59.35,6.0,198.0,345.0,15.325,2200.0,4550.0
158.32,26.0,55.0,26.02279034322702,59.35,6.0,198.0,345.0,15.325,2228.0,4120.0
178.65,24.0,54.0,23.633294130496864,59.35,6.0,198.0,345.0,15.325,2510.0,5020.0
198.32,25.0,56.0,24.74343059018726,59.35,6.0,198.0,345.0,15.325,2510.0,3867.0
236.23,22.0,58.0,21.55126203018694,59.35,6.0,198.0,345.0,15.325,2510.0,3867.0
214.23,26.0,59.0,25.537506870479124,59.35,6.0,198.0,345.0,15.325,2510.0,4160.0
245.2,27.0,57.0,27.34647345370697,59.35,6.0,198.0,345.0,15.325,2510.0,4903.0
214.3,23.0,56.0,22.797389824019305,59.35,6.0,198.0,345.0,15.325,2510.0,5520.0
216.0,25.0,55.0,24.591744909421035,59.35,6.0,198.0,345.0,15.325,2510.0,6024.0
235.0,26.0,52.0,25.66409824639205,59.35,6.0,198.0,345.0,15.325,2500.0,4800.0
265.0,24.0,53.0,24.207916294661896,59.35,6.0,198.0,345.0,15.325,2508.0,4936.25
158.0,23.0,54.0,23.08615488131275,59.35,6.0,198.0,345.0,15.325,2508.0,4936.25
189.0,22.0,54.0,22.136302610733114,59.35,6.0,198.0,345.0,15.325,2508.0,4936.25
189.0,22.0,54.0,22.48563278392548,59.35,6.0,198.0,345.0,15.325,2508.0,4936.25
189.0,22.0,54.0,22.333421585401087,59.35,6.0,198.0,345.0,15.325,2508.0,4936.25
1117.86,22.51666667,45.93666667,22.973563167645622,49.356,6.12,83.25,260.24,14.655,10000.0,25586.0
1292.47,21.63833333,56.16583333,21.971717933462045,49.356,6.12,83.25,260.24,14.655,8450.0,22000.0
1208.55,21.9125,54.875,21.801859355745275,49.356,6.12,83.25,260.24,14.655,8760.0,22426.0
1222.21,21.80416667,57.17083333,21.39687024678544,49.356,6.12,83.25,260.24,14.655,9015.0,22520.0
1371.26,21.41416667,59.97916667,21.089562407562752,49.356,6.12,83.25,260.24,14.655,9010.0,23600.0
1623.99,21.39916667,60.71,21.145293993171126,49.356,6.12,83.25,260.24,14.655,9010.0,21004.0
1037.01,22.30166667,52.2825,22.76921436636017,49.356,6.12,83.25,260.24,14.655,9010.0,23200.0
1144.38,22.56583333,54.1525,22.686335237304515,49.356,6.12,83.25,260.24,14.655,8728.0,26533.0
1241.14,21.39583333,59.07,21.16867864290603,49.356,6.12,83.25,260.24,14.655,8750.0,27125.0
1235.25,21.69583333,54.1675,22.15147241869237,49.356,6.12,83.25,260.24,14.655,8750.0,30125.0
1706.65,21.15916667,62.70583333,20.7619512906749,49.356,6.12,83.25,260.24,14.655,8550.0,29899.0
1652.53,21.6525,60.03416667,21.262864180737907,49.356,6.12,83.25,260.24,14.655,8500.0,30500.0
1790.26,21.7975,60.09833333,21.976878376219567,49.356,6.12,83.25,260.24,14.655,8655.6,25376.5
1743.43,22.33166667,57.43666667,22.6592898468395,49.356,6.12,83.25,260.24,14.655,8655.6,25376.5
1749.86,22.32416667,59.35333333,22.587721704982066,49.356,6.12,83.25,260.24,14.655,8655.6,25376.5
1749.86,22.32416667,59.35333333,22.362308043331574,49.356,6.12,83.25,260.24,14.655,8655.6,25376.5
1749.86,22.32416667,59.35333333,22.574600308902973,49.356,6.12,83.25,260.24,14.655,8655.6,25376.5
807.0500000000001,18.19333333333333,49.47083333333333,17.349166666666665,58.898,6.5,102.23,390.23,16.365,8710.0,12685.0
898.57,18.1475,51.95416666666667,17.191666666666666,58.898,6.5,102.23,390.23,16.365,8210.0,13065.0
1143.14,17.72,54.42166666666666,16.779166666666665,58.898,6.5,102.23,390.23,16.365,8210.0,13065.0
957.34,18.2725,53.73916666666667,17.329166666666666,58.898,6.5,102.23,390.23,16.365,8210.0,12000.0
1325.8,17.6675,57.517500000000005,16.576666666666664,58.898,6.5,102.23,390.23,16.365,7895.0,11842.0
1241.32,17.625,57.65916666666666,16.635,58.898,6.5,102.23,390.23,16.365,7920.0,6177.0
974.11,18.64,49.95,17.688333333333333,58.898,6.5,102.23,390.23,16.365,7464.0,11196.0
1307.06,18.70583333333333,53.43666666666667,17.74416666666667,58.898,6.5,102.23,390.23,16.365,7500.0,12000.0
1452.37,17.4275,60.181666666666665,16.48,58.898,6.5,102.23,390.23,16.365,7450.0,12500.0
909.25,17.905833333333334,55.04666666666666,17.0425,58.898,6.5,102.23,390.23,16.365,8710.0,18985.0
1532.72,17.768333333333334,63.740833333333335,16.771666666666665,58.898,6.5,102.23,390.23,16.365,8710.0,14420.0
992.14,18.25333333333333,55.85,17.246666666666666,58.898,6.5,102.23,390.23,16.365,8705.0,18500.0
971.59,18.2,57.48083333333333,17.343333333333334,58.898,6.5,102.23,390.23,16.365,8215.0,13036.25
877.96,18.936666666666667,52.12916666666666,17.926666666666666,58.898,6.5,102.23,390.23,16.365,8215.0,13036.25
996.99,18.79083333333333,54.73,17.930833333333332,58.898,6.5,102.23,390.23,16.365,8215.0,13036.25
34.68,18.289166666666667,55.45583333333334,17.346666666666668,58.898,6.5,102.23,390.23,16.365,8215.0,13036.25
34.89,17.7625,59.892500000000005,16.980833333333333,58.898,6.5,102.23,390.23,16.365,8215.0,13036.25
671.01,17.766666666666666,49.17666666666667,17.323333333333334,54.124,6.2,113.2,435.23,15.235,6568.0,9850.0
984.87,17.534166666666668,54.29166666666666,16.903333333333332,54.124,6.2,113.2,435.23,15.235,6292.0,9800.0
1242.6699999999998,17.168333333333333,56.665,16.458333333333332,54.124,6.2,113.2,435.23,15.235,6292.0,9800.0
1116.11,17.469166666666666,57.90916666666666,16.730833333333333,54.124,6.2,113.2,435.23,15.235,6292.0,9800.0
1500.54,16.989166666666666,61.395833333333336,16.12333333333333,54.124,6.2,113.2,435.23,15.235,6190.0,10144.0
1440.67,16.966666666666665,61.432500000000005,16.140833333333333,54.124,6.2,113.2,435.23,15.235,6190.0,7304.0
1051.47,17.890833333333333,53.845,17.155,54.124,6.2,113.2,435.23,15.235,710.0,9310.0
1285.03,18.015,56.68333333333334,17.28,54.124,6.2,113.2,435.23,15.235,7300.0,9870.0
1600.87,16.87,63.025,16.13416666666667,54.124,6.2,113.2,435.23,15.235,14650.0,29870.0
1099.08,17.176666666666666,58.7075,16.500833333333336,54.124,6.2,113.2,435.23,15.235,16850.0,27219.0
1726.89,17.107499999999998,66.7975,16.3475,54.124,6.2,113.2,435.23,15.235,21500.0,31175.0
1157.55,17.484166666666667,59.7,16.665833333333335,54.124,6.2,113.2,435.23,15.235,20150.0,39192.0
1170.85,17.363333333333333,61.45166666666666,16.575833333333332,54.124,6.2,113.2,435.23,15.235,16090.0,16944.5
1168.61,18.051666666666662,57.02916666666667,17.1675,54.124,6.2,113.2,435.23,15.235,16090.0,16944.5
1187.81,18.061666666666667,58.47,17.260833333333334,54.124,6.2,113.2,435.23,15.235,16090.0,16944.5
45.56,17.458333333333332,59.681666666666665,16.643333333333334,54.124,6.2,113.2,435.23,15.235,16090.0,16944.5
44.32,17.115,63.946666666666665,16.410833333333333,54.124,6.2,113.2,435.23,15.235,16090.0,16944.5
635.1,18.89583333333333,47.803333333333335,18.4925,44.256,6.9,119.65,422.23,21.254,12000.0,31000.0
1116.67,18.5375,53.84666666666666,17.8975,44.256,6.9,119.65,422.23,21.254,12700.0,28160.0
1322.87,18.328333333333333,55.27916666666667,17.644166666666667,44.256,6.9,119.65,422.23,21.254,12700.0,30353.0
1242.4,18.485,57.25333333333333,17.75583333333333,44.256,6.9,119.65,422.23,21.254,12700.0,29210.0
1576.23,18.050833333333333,60.3775,17.2375,44.256,6.9,119.65,422.23,21.254,12700.0,29100.0
1765.53,18.029166666666665,60.72166666666666,17.2525,44.256,6.9,119.65,422.23,21.254,12700.0,25630.0
1161.23,18.87333333333333,53.3975,18.1575,44.256,6.9,119.65,422.23,21.254,12700.0,27500.0
1277.98,19.079166666666666,55.57666666666668,18.4275,44.256,6.9,119.65,422.23,21.254,12750.0,29000.0
1561.98,17.970833333333335,60.88833333333333,17.278333333333332,44.256,6.9,119.65,422.23,21.254,12700.0,29464.0
1326.16,18.149166666666662,56.92166666666666,17.474166666666665,44.256,6.9,119.65,422.23,21.254,12650.0,29995.0
1850.57,17.982499999999998,65.145,17.258333333333333,44.256,6.9,119.65,422.23,21.254,12655.0,29109.0
1414.5700000000002,18.44333333333333,58.45166666666666,17.6725,44.256,6.9,119.65,422.23,21.254,12022.0,32500.0
1263.45,18.466666666666665,59.16916666666666,17.753333333333334,44.256,6.9,119.65,422.23,21.254,12555.4,29251.75
1383.43,19.06,55.985833333333325,18.218333333333334,44.256,6.9,119.65,422.23,21.254,12555.4,29251.75
